,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
226,0.5399359067281088,0.003428194555385375,0.01367028554280599,0.00047227273628368916,8,sqrt,4,10,200,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.7030076134945314,0.7078822262460345,0.7198901784143301,0.710260006051632,0.007094393428181382,244
227,0.8044951756795248,0.0009614520475168329,0.018830299377441406,0.0002272045248032968,8,sqrt,4,10,300,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.7039658464721803,0.710418019099514,0.7208500053131,0.7117446236282646,0.006956465320027974,226
228,0.17485920588175455,0.005173607356653332,0.005002260208129883,5.150429962800233e-07,8,sqrt,8,2,50,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 50}",0.7272590308281693,0.7320027691970765,0.7456183045979129,0.7349600348743862,0.00778137942153121,106
229,0.3480556805928548,0.0022717297775703524,0.008837699890136719,0.000628161727925811,8,sqrt,8,2,100,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 100}",0.725843483527934,0.7361835924647008,0.7413531830079109,0.7344600863335152,0.0064480255131822576,118
230,0.6899573802947998,0.004643744348033825,0.01633898417154948,0.00046908330160418235,8,sqrt,8,2,200,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 200}",0.7253738624280996,0.7352270530847179,0.7441654873268452,0.7349221342798876,0.0076746779820368845,112
231,1.0266653696695964,0.008844404078654102,0.022347132364908855,0.0004872737743052846,8,sqrt,8,2,300,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 2, 'n_estimators': 300}",0.7220604683506867,0.7371761363063062,0.7460424328120151,0.7350930124896693,0.009900781399555768,100
232,0.1740535100301107,0.0032955952109828095,0.006000041961669922,5.150429962800233e-07,8,sqrt,8,5,50,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 5, 'n_estimators': 50}",0.7272590308281693,0.7320027691970765,0.7456183045979129,0.7349600348743862,0.00778137942153121,106
233,0.3470582167307536,0.0014776124155800035,0.00899974505106608,3.0178765529072324e-06,8,sqrt,8,5,100,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 5, 'n_estimators': 100}",0.725843483527934,0.7361835924647008,0.7413531830079109,0.7344600863335152,0.0064480255131822576,118
234,0.6927837530771891,0.014675367565106073,0.015665451685587566,0.0004723259330368765,8,sqrt,8,5,200,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 5, 'n_estimators': 200}",0.7253738624280996,0.7352270530847179,0.7441654873268452,0.7349221342798876,0.0076746779820368845,112
235,1.031047026316325,0.006286908505181619,0.022335608800252277,0.0004714827855295644,8,sqrt,8,5,300,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 5, 'n_estimators': 300}",0.7220604683506867,0.7371761363063062,0.7460424328120151,0.7350930124896693,0.009900781399555768,100
236,0.17439897855122885,0.003679810331183106,0.004995266596476237,3.9337058610167764e-06,8,sqrt,8,10,50,"{'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': 8, 'min_samples_split': 10, 'n_estimators': 50}",0.7272590308281693,0.7320027691970765,0.7456183045979129,0.7349600348743862,0.00778137942153121,106
