total_number_of_words,total_number_of_stop_words,total_number_of_syllables,total_number_of_words_more_than_two_syllables,total_number_of_words_more_than_three_syllables,total_number_of_unique_words,total_number_of_sentences,total_number_of_characters,average_number_of_words_per_sentence,average_number_of_characters_per_sentence,average_number_of_characters_per_word,average_number_of_syllables_per_sentence,average_number_of_syllables_per_word,average_number_of_stop_words_per_sentence,average_number_of_stop_words_per_word,total_kuperman_age_of_acquistion_of_words,total_brysbaert_age_of_acquistion_of_words,total_subtlex_us_zipf_of_words,average_kuperman_age_of_acquistion_of_words_per_word,average_brysbaert_age_of_acquistion_of_words_per_word,average_kuperman_age_of_acquistion_of_words_per_sentence,average_brysbaert_age_of_acquistion_of_words_per_sentence,average_subtlex_us_zipf_of_words_per_word,average_subtlex_us_zipf_of_words_per_sentence,simple_adjectives_variation,simple_adpositions_variation,simple_adverbs_variation,simple_auxiliaries_variation,simple_coordinating_conjunctions_variation,simple_determiners_variation,simple_interjections_variation,simple_nouns_variation,simple_numerals_variation,simple_particles_variation,simple_pronouns_variation,simple_proper_nouns_variation,simple_punctuations_variation,simple_subordinating_conjunctions_variation,simple_symbols_variation,simple_verbs_variation,simple_spaces_variation,root_adjectives_variation,root_adpositions_variation,root_adverbs_variation,root_auxiliaries_variation,root_coordinating_conjunctions_variation,root_determiners_variation,root_interjections_variation,root_nouns_variation,root_numerals_variation,root_particles_variation,root_pronouns_variation,root_proper_nouns_variation,root_punctuations_variation,root_subordinating_conjunctions_variation,root_symbols_variation,root_verbs_variation,root_spaces_variation,corrected_adjectives_variation,corrected_adpositions_variation,corrected_adverbs_variation,corrected_auxiliaries_variation,corrected_coordinating_conjunctions_variation,corrected_determiners_variation,corrected_interjections_variation,corrected_nouns_variation,corrected_numerals_variation,corrected_particles_variation,corrected_pronouns_variation,corrected_proper_nouns_variation,corrected_punctuations_variation,corrected_subordinating_conjunctions_variation,corrected_symbols_variation,corrected_verbs_variation,corrected_spaces_variation,simple_type_token_ratio,root_type_token_ratio,corrected_type_token_ratio,bilogarithmic_type_token_ratio,uber_type_token_ratio,simple_type_token_ratio_no_lemma,root_type_token_ratio_no_lemma,corrected_type_token_ratio_no_lemma,bilogarithmic_type_token_ratio_no_lemma,uber_type_token_ratio_no_lemma,average_number_of_adjectives_per_word,average_number_of_adpositions_per_word,average_number_of_adverbs_per_word,average_number_of_auxiliaries_per_word,average_number_of_coordinating_conjunctions_per_word,average_number_of_determiners_per_word,average_number_of_interjections_per_word,average_number_of_nouns_per_word,average_number_of_numerals_per_word,average_number_of_particles_per_word,average_number_of_pronouns_per_word,average_number_of_proper_nouns_per_word,average_number_of_punctuations_per_word,average_number_of_subordinating_conjunctions_per_word,average_number_of_symbols_per_word,average_number_of_verbs_per_word,average_number_of_spaces_per_word,average_number_of_adjectives_per_sentence,average_number_of_adpositions_per_sentence,average_number_of_adverbs_per_sentence,average_number_of_auxiliaries_per_sentence,average_number_of_coordinating_conjunctions_per_sentence,average_number_of_determiners_per_sentence,average_number_of_interjections_per_sentence,average_number_of_nouns_per_sentence,average_number_of_numerals_per_sentence,average_number_of_particles_per_sentence,average_number_of_pronouns_per_sentence,average_number_of_proper_nouns_per_sentence,average_number_of_punctuations_per_sentence,average_number_of_subordinating_conjunctions_per_sentence,average_number_of_symbols_per_sentence,average_number_of_verbs_per_sentence,average_number_of_spaces_per_sentence,flesch_kincaid_reading_ease,flesch_kincaid_grade_level,gunning_fog_index,smog_index,coleman_liau_index,automated_readability_index,reading_time_for_fast_readers,reading_time_for_average_readers,reading_time_for_slow_readers
386,175,559,51,21,205,15,1851,25.73,123.4,4.8,37.27,1.45,11.67,0.45,2104.85,1686.08,1916.28,5.45,4.37,140.32,112.41,4.96,127.75,0.6,0.35,0.82,0.36,0.2,0.05,0.0,0.76,0.83,0.3,0.6,0.56,0.12,0.5,0.0,0.7,0.1,3.96,2.36,3.4,1.71,0.63,0.33,0.0,7.14,2.89,0.95,2.32,2.25,0.6,1.58,0.0,4.95,0.32,2.8,1.67,2.4,1.21,0.45,0.23,0.0,5.05,2.04,0.67,1.64,1.59,0.42,1.12,0.0,3.5,0.22,0.53,10.43,7.38,0.89,44.77,0.53,10.43,7.38,0.89,44.77,0.11,0.12,0.04,0.06,0.03,0.1,0.0,0.23,0.03,0.03,0.04,0.04,0.06,0.03,0.0,0.13,0.03,2.87,3.07,1.13,1.47,0.67,2.47,0.0,5.87,0.8,0.67,1.0,1.07,1.67,0.67,0.0,3.33,0.67,58.2,11.53,15.58,6.76,11.25,14.02,1.29,1.61,2.21
451,215,671,85,25,238,20,2145,22.55,107.25,4.76,33.55,1.49,10.75,0.48,2237.09,1900.29,2295.5,4.96,4.21,111.85,95.01,5.09,114.77,0.94,0.37,0.79,0.31,0.27,0.13,0.0,0.7,0.8,0.25,0.37,0.48,0.2,0.33,1.0,0.82,0.22,3.88,2.86,4.16,1.57,0.9,0.88,0.0,6.64,1.79,0.87,2.01,3.09,1.33,1.15,1.41,6.48,0.67,2.74,2.03,2.94,1.11,0.64,0.62,0.0,4.7,1.26,0.61,1.42,2.18,0.94,0.82,1.0,4.58,0.47,0.53,11.21,7.92,0.9,46.85,0.53,11.21,7.92,0.9,46.85,0.04,0.13,0.06,0.06,0.02,0.1,0.0,0.2,0.01,0.03,0.07,0.09,0.1,0.03,0.0,0.14,0.02,0.85,2.95,1.4,1.3,0.55,2.35,0.0,4.5,0.25,0.6,1.5,2.1,2.3,0.6,0.1,3.1,0.45,58.08,10.76,16.56,6.39,10.85,12.25,1.5,1.88,2.58
531,247,791,75,26,277,25,2533,21.24,101.32,4.77,31.64,1.49,9.88,0.47,2393.29,2011.19,2602.67,4.51,3.79,95.73,80.45,4.9,104.11,0.96,0.27,0.8,0.28,0.22,0.22,1.0,0.65,0.89,0.16,0.4,0.66,0.15,0.42,0.0,0.79,0.17,4.69,2.22,3.58,1.59,0.67,1.49,1.0,6.74,2.67,0.69,2.53,5.5,1.23,1.44,0.0,6.4,0.58,3.32,1.57,2.53,1.12,0.47,1.05,0.71,4.76,1.89,0.49,1.79,3.89,0.87,1.02,0.0,4.53,0.41,0.52,12.02,8.5,0.9,48.61,0.52,12.02,8.5,0.9,48.61,0.05,0.12,0.04,0.06,0.02,0.08,0.0,0.2,0.02,0.04,0.08,0.13,0.12,0.02,0.0,0.12,0.02,0.96,2.64,0.8,1.28,0.36,1.8,0.04,4.32,0.36,0.76,1.6,2.8,2.64,0.48,0.0,2.64,0.48,59.25,10.27,14.15,5.83,10.86,11.66,1.77,2.21,3.03
236,90,375,41,16,143,10,1192,23.6,119.2,5.05,37.5,1.59,9.0,0.38,1197.43,1027.12,1108.7,5.07,4.35,119.74,102.71,4.7,110.87,0.91,0.28,0.92,0.33,0.25,0.3,0.0,0.62,0.9,0.5,0.5,0.74,0.21,0.67,0.0,0.89,0.14,4.26,1.59,3.33,1.0,0.71,1.34,0.0,5.09,2.85,1.0,0.71,3.54,1.11,1.15,0.0,3.77,0.38,3.02,1.12,2.35,0.71,0.5,0.95,0.0,3.6,2.01,0.71,0.5,2.51,0.79,0.82,0.0,2.67,0.27,0.61,9.31,6.58,0.91,49.16,0.61,9.31,6.58,0.91,49.16,0.09,0.14,0.06,0.04,0.03,0.08,0.0,0.29,0.04,0.02,0.01,0.1,0.12,0.01,0.0,0.08,0.03,2.2,3.2,1.3,0.9,0.8,2.0,0.0,6.8,1.0,0.4,0.2,2.3,2.9,0.3,0.0,1.8,0.7,48.45,12.36,16.39,7.23,12.64,14.16,0.79,0.98,1.35
402,205,621,73,28,212,19,1969,21.16,103.63,4.9,32.68,1.54,10.79,0.51,1946.23,1573.38,2004.89,4.84,3.91,102.43,82.81,4.99,105.52,0.89,0.35,0.93,0.21,0.21,0.22,0.0,0.81,1.0,0.17,0.52,0.45,0.16,0.31,1.0,0.71,0.2,4.62,2.06,3.47,1.22,0.92,1.33,0.0,6.81,1.41,0.58,2.79,3.22,1.28,1.25,1.0,5.0,0.63,3.27,1.46,2.46,0.86,0.65,0.94,0.0,4.82,1.0,0.41,1.97,2.28,0.91,0.88,0.71,3.54,0.45,0.53,10.57,7.48,0.89,44.84,0.53,10.57,7.48,0.89,44.84,0.07,0.08,0.03,0.08,0.05,0.09,0.0,0.17,0.0,0.03,0.07,0.13,0.15,0.04,0.0,0.12,0.02,1.42,1.79,0.74,1.74,1.0,1.89,0.0,3.68,0.11,0.63,1.53,2.68,3.21,0.84,0.05,2.58,0.53,54.67,10.89,15.73,6.94,11.6,12.22,1.34,1.68,2.3
384,179,618,80,26,195,12,1974,32.0,164.5,5.14,51.5,1.61,14.92,0.47,1939.33,1706.62,1916.21,5.05,4.44,161.61,142.22,4.99,159.68,0.63,0.3,0.82,0.35,0.27,0.18,0.0,0.55,0.83,0.27,0.48,0.57,0.12,0.71,1.0,0.79,0.1,3.27,2.12,2.71,1.57,0.9,1.12,0.0,5.1,2.04,0.9,2.18,3.1,1.04,1.89,1.0,5.88,0.32,2.31,1.5,1.92,1.11,0.64,0.79,0.0,3.6,1.44,0.64,1.54,2.19,0.73,1.34,0.71,4.16,0.22,0.51,9.95,7.04,0.89,41.03,0.51,9.95,7.04,0.89,41.03,0.07,0.13,0.03,0.05,0.03,0.1,0.0,0.22,0.02,0.03,0.05,0.08,0.2,0.02,0.0,0.15,0.03,2.25,4.17,0.92,1.67,0.92,3.25,0.0,7.08,0.5,0.92,1.75,2.5,6.25,0.58,0.08,4.67,0.83,38.2,15.88,21.13,8.41,13.5,18.78,1.28,1.6,2.19
536,298,691,52,20,234,27,2253,19.85,83.44,4.2,25.59,1.29,11.04,0.56,2490.69,2143.83,2806.42,4.65,4.0,92.25,79.4,5.24,103.94,0.67,0.34,0.77,0.28,0.33,0.16,0.0,0.65,0.5,0.12,0.27,0.48,0.11,0.5,0.0,0.6,0.12,3.27,2.63,4.31,1.59,1.0,1.13,0.0,6.04,1.0,0.61,2.14,3.17,0.95,1.58,0.0,5.53,0.5,2.31,1.86,3.05,1.12,0.71,0.8,0.0,4.27,0.71,0.43,1.51,2.24,0.67,1.12,0.0,3.91,0.35,0.44,10.11,7.15,0.87,35.91,0.44,10.11,7.15,0.87,35.91,0.04,0.11,0.06,0.06,0.02,0.09,0.0,0.16,0.01,0.04,0.12,0.08,0.13,0.02,0.0,0.16,0.03,0.89,2.15,1.15,1.19,0.33,1.85,0.0,3.19,0.15,0.89,2.33,1.63,2.63,0.37,0.0,3.15,0.59,77.62,7.36,11.82,4.92,7.42,8.29,1.79,2.23,3.06
89,40,135,15,4,69,5,455,17.8,91.0,5.11,27.0,1.52,8.0,0.45,489.55,386.21,438.94,5.5,4.34,97.91,77.24,4.93,87.79,1.0,0.43,0.67,0.4,0.17,0.22,0.0,0.96,1.0,0.5,1.0,0.86,0.45,1.0,0.0,1.0,0.0,2.83,1.13,1.15,0.89,0.41,0.67,0.0,4.8,1.73,0.71,1.73,2.27,1.51,1.73,0.0,2.83,0.0,2.0,0.8,0.82,0.63,0.29,0.47,0.0,3.39,1.22,0.5,1.22,1.6,1.07,1.22,0.0,2.0,0.0,0.78,7.31,5.17,0.94,70.43,0.78,7.31,5.17,0.94,70.43,0.09,0.08,0.03,0.06,0.07,0.1,0.0,0.28,0.03,0.02,0.03,0.08,0.12,0.03,0.0,0.09,0.0,1.6,1.4,0.6,1.0,1.2,1.8,0.0,5.0,0.6,0.4,0.6,1.4,2.2,0.6,0.0,1.6,0.0,60.44,9.25,13.86,5.11,12.6,11.55,0.3,0.37,0.51
359,192,479,30,8,190,28,1568,12.82,56.0,4.37,17.11,1.33,6.86,0.53,1665.24,1415.27,1930.79,4.64,3.94,59.47,50.55,5.38,68.96,0.94,0.35,0.83,0.24,0.18,0.16,0.0,0.7,1.0,0.22,0.36,0.78,0.16,0.6,0.0,0.8,0.11,3.88,2.29,2.89,1.2,0.73,0.9,0.0,5.86,1.41,0.67,2.24,4.04,1.13,1.34,0.0,5.66,0.33,2.74,1.62,2.04,0.85,0.51,0.64,0.0,4.14,1.0,0.47,1.59,2.86,0.8,0.95,0.0,4.0,0.24,0.53,10.03,7.09,0.89,43.27,0.53,10.03,7.09,0.89,43.27,0.05,0.12,0.03,0.07,0.05,0.09,0.0,0.19,0.01,0.03,0.11,0.08,0.14,0.01,0.0,0.14,0.03,0.61,1.54,0.43,0.89,0.61,1.11,0.0,2.5,0.07,0.32,1.39,0.96,1.79,0.18,0.0,1.79,0.32,80.94,5.15,8.47,3.05,7.57,5.55,1.2,1.5,2.05
290,129,404,35,7,153,20,1352,14.5,67.6,4.66,20.2,1.39,6.45,0.44,1380.51,1250.56,1482.56,4.76,4.31,69.03,62.53,5.11,74.13,0.79,0.57,0.78,0.22,0.29,0.09,1.0,0.55,1.0,0.4,0.59,0.71,0.21,0.62,0.0,0.62,0.17,2.94,3.02,2.33,0.94,0.76,0.51,1.0,4.38,2.0,0.89,2.43,4.23,1.3,1.77,0.0,3.95,0.41,2.08,2.14,1.65,0.67,0.53,0.36,0.71,3.09,1.41,0.63,1.71,2.99,0.92,1.25,0.0,2.8,0.29,0.53,8.98,6.35,0.89,39.57,0.53,8.98,6.35,0.89,39.57,0.05,0.1,0.03,0.06,0.02,0.12,0.0,0.22,0.01,0.02,0.06,0.12,0.13,0.03,0.0,0.14,0.02,0.7,1.4,0.45,0.9,0.35,1.7,0.05,3.2,0.2,0.25,0.85,1.75,1.9,0.4,0.0,2.0,0.3,74.26,6.5,10.63,3.38,9.57,7.78,0.97,1.21,1.66
426,205,571,60,10,212,19,1867,22.42,98.26,4.38,30.05,1.34,10.79,0.48,1747.2,1563.06,2139.55,4.1,3.67,91.96,82.27,5.02,112.61,0.53,0.25,1.0,0.25,0.3,0.16,1.0,0.77,0.86,0.21,0.36,0.52,0.12,0.7,0.0,0.79,0.1,2.92,1.82,4.0,1.22,0.95,0.99,1.0,5.75,2.27,0.8,2.09,3.68,0.92,2.21,0.0,6.47,0.45,2.07,1.29,2.83,0.87,0.67,0.7,0.71,4.06,1.6,0.57,1.48,2.6,0.65,1.57,0.0,4.58,0.32,0.5,10.27,7.26,0.88,41.12,0.5,10.27,7.26,0.88,41.12,0.07,0.12,0.04,0.06,0.02,0.09,0.0,0.13,0.02,0.03,0.08,0.12,0.14,0.02,0.0,0.16,0.05,1.58,2.68,0.84,1.26,0.53,1.95,0.05,2.95,0.37,0.74,1.74,2.63,3.05,0.53,0.0,3.53,1.05,70.68,8.97,14.6,4.14,8.65,10.42,1.42,1.77,2.43
772,381,1181,136,42,445,44,3803,17.55,86.43,4.93,26.84,1.53,8.66,0.49,3687.14,3214.19,3898.37,4.78,4.16,83.8,73.05,5.05,88.6,0.97,0.21,0.78,0.2,0.12,0.1,1.0,0.89,0.75,0.14,0.3,0.86,0.07,0.53,0.0,0.8,0.5,7.75,1.9,5.31,1.36,0.59,0.86,1.73,10.66,2.12,0.53,2.56,8.24,0.77,2.07,0.0,7.74,1.0,5.48,1.34,3.75,0.96,0.42,0.6,1.22,7.54,1.5,0.38,1.81,5.82,0.54,1.46,0.0,5.47,0.71,0.58,16.02,11.32,0.92,67.5,0.58,16.02,11.32,0.92,67.5,0.08,0.1,0.06,0.06,0.03,0.09,0.0,0.18,0.01,0.02,0.1,0.12,0.14,0.02,0.0,0.12,0.01,1.45,1.82,1.05,1.0,0.59,1.52,0.07,3.23,0.18,0.32,1.68,2.09,2.45,0.34,0.0,2.14,0.09,59.61,9.3,14.06,5.58,11.48,10.54,2.57,3.22,4.41
270,135,418,55,12,163,9,1304,30.0,144.89,4.83,46.44,1.55,15.0,0.5,1111.8,965.05,1304.45,4.12,3.57,123.53,107.23,4.83,144.94,0.73,0.47,0.72,0.45,0.29,0.16,0.0,0.86,1.0,0.27,0.46,0.65,0.21,0.33,0.0,0.76,0.5,2.84,2.65,3.06,1.51,0.76,0.69,0.0,5.17,2.45,0.9,2.35,4.11,1.22,0.82,0.0,4.84,0.71,2.01,1.88,2.17,1.07,0.53,0.49,0.0,3.65,1.73,0.64,1.66,2.91,0.86,0.58,0.0,3.42,0.5,0.6,9.92,7.01,0.91,51.41,0.6,9.92,7.01,0.91,51.41,0.06,0.12,0.07,0.04,0.03,0.07,0.0,0.13,0.02,0.04,0.1,0.15,0.12,0.02,0.0,0.15,0.01,1.67,3.56,2.0,1.22,0.78,2.11,0.0,4.0,0.67,1.22,2.89,4.44,3.67,0.67,0.0,4.56,0.22,45.41,14.38,20.15,6.6,11.61,16.32,0.9,1.12,1.54
1482,680,2234,242,80,589,69,7228,21.48,104.75,4.88,32.38,1.51,9.86,0.46,7287.02,6049.37,7281.92,4.92,4.08,105.61,87.67,4.91,105.54,0.71,0.15,0.55,0.13,0.12,0.08,0.29,0.58,0.72,0.08,0.26,0.48,0.05,0.47,0.5,0.66,0.03,7.46,1.91,5.24,1.2,0.71,0.87,0.76,10.41,3.6,0.48,2.54,5.43,0.77,2.74,0.71,9.07,0.18,5.28,1.35,3.71,0.85,0.5,0.61,0.53,7.36,2.55,0.34,1.79,3.84,0.54,1.94,0.5,6.41,0.13,0.4,15.3,10.82,0.87,44.09,0.4,15.3,10.82,0.87,44.09,0.08,0.11,0.06,0.06,0.02,0.09,0.0,0.22,0.02,0.03,0.07,0.09,0.14,0.02,0.0,0.13,0.02,1.62,2.29,1.32,1.22,0.46,1.93,0.1,4.62,0.36,0.57,1.41,1.83,2.96,0.49,0.03,2.75,0.43,57.51,10.57,15.12,6.15,11.5,12.28,4.94,6.17,8.47
477,239,630,47,9,209,22,2041,21.68,92.77,4.28,28.64,1.32,10.86,0.5,2113.22,1880.35,2486.89,4.43,3.94,96.06,85.47,5.21,113.04,0.69,0.26,0.9,0.22,0.25,0.11,0.0,0.65,0.45,0.14,0.33,0.55,0.08,0.6,0.0,0.59,0.08,3.71,2.03,2.85,0.94,0.71,0.74,0.0,5.97,1.51,0.53,2.56,3.48,0.81,1.34,0.0,5.08,0.29,2.63,1.44,2.01,0.67,0.5,0.52,0.0,4.22,1.07,0.38,1.81,2.46,0.57,0.95,0.0,3.59,0.2,0.44,9.57,6.77,0.87,34.59,0.44,9.57,6.77,0.87,34.59,0.06,0.13,0.02,0.04,0.02,0.1,0.0,0.18,0.02,0.03,0.13,0.08,0.21,0.01,0.0,0.16,0.03,1.32,2.82,0.45,0.82,0.36,2.09,0.0,3.86,0.5,0.64,2.77,1.82,4.45,0.23,0.0,3.41,0.55,73.09,8.45,12.61,3.65,7.99,9.56,1.59,1.99,2.73
333,132,557,82,27,214,9,1801,37.0,200.11,5.41,61.89,1.67,14.67,0.4,1710.62,1334.73,1593.12,5.14,4.01,190.07,148.3,4.78,177.01,0.82,0.31,1.0,0.33,0.29,0.19,0.0,0.9,1.0,0.2,0.64,0.68,0.09,1.0,0.0,0.89,0.11,4.8,1.77,3.16,1.0,1.07,1.06,0.0,7.6,2.0,0.77,2.41,4.37,0.66,2.0,0.0,5.96,0.33,3.4,1.25,2.24,0.71,0.76,0.75,0.0,5.37,1.41,0.55,1.7,3.09,0.47,1.41,0.0,4.22,0.24,0.64,11.73,8.29,0.92,65.12,0.64,11.73,8.29,0.92,65.12,0.1,0.1,0.03,0.03,0.04,0.1,0.0,0.21,0.01,0.05,0.04,0.12,0.17,0.01,0.0,0.14,0.03,3.78,3.56,1.11,1.0,1.56,3.56,0.0,7.89,0.44,1.67,1.56,4.56,6.33,0.44,0.0,5.0,1.0,27.77,18.58,24.65,9.89,15.2,22.54,1.11,1.39,1.9
238,108,337,34,9,148,6,1122,39.67,187.0,4.71,56.17,1.42,18.0,0.45,934.64,745.02,1152.27,3.93,3.13,155.77,124.17,4.84,192.05,1.0,0.34,1.0,0.33,0.17,0.14,0.0,0.83,1.0,0.67,0.54,0.69,0.22,1.0,0.0,0.82,0.25,3.16,2.03,2.65,0.82,0.41,0.76,0.0,5.31,2.24,1.15,1.94,5.25,1.15,2.24,0.0,3.4,0.5,2.24,1.43,1.87,0.58,0.29,0.53,0.0,3.75,1.58,0.82,1.37,3.71,0.82,1.58,0.0,2.4,0.35,0.62,9.59,6.78,0.91,52.57,0.62,9.59,6.78,0.91,52.57,0.04,0.15,0.03,0.03,0.03,0.12,0.0,0.17,0.02,0.01,0.05,0.24,0.11,0.02,0.0,0.07,0.02,1.67,5.83,1.17,1.0,1.0,4.67,0.0,6.83,0.83,0.5,2.17,9.67,4.5,0.83,0.0,2.83,0.67,46.78,16.59,21.58,7.0,11.17,20.61,0.79,0.99,1.36
260,103,380,40,11,146,13,1242,20.0,95.54,4.78,29.23,1.46,7.92,0.4,1108.92,934.95,1154.71,4.27,3.6,85.3,71.92,4.44,88.82,0.71,0.43,0.61,0.25,0.25,0.21,0.0,0.62,0.88,0.43,0.56,0.62,0.28,0.5,1.0,0.72,0.11,2.67,2.37,2.59,1.0,0.5,0.8,0.0,4.23,2.47,1.13,1.67,4.44,1.49,1.0,1.0,3.9,0.33,1.89,1.68,1.83,0.71,0.35,0.57,0.0,2.99,1.75,0.8,1.18,3.14,1.05,0.71,0.71,2.76,0.24,0.56,9.05,6.4,0.9,43.04,0.56,9.05,6.4,0.9,43.04,0.05,0.12,0.07,0.06,0.02,0.05,0.0,0.18,0.03,0.03,0.03,0.2,0.11,0.02,0.0,0.11,0.03,1.08,2.31,1.38,1.23,0.31,1.08,0.0,3.62,0.62,0.54,0.69,4.0,2.23,0.31,0.08,2.23,0.69,62.89,9.46,14.15,5.25,10.81,11.07,0.87,1.08,1.49
220,105,297,26,6,138,8,996,27.5,124.5,4.53,37.12,1.35,13.12,0.48,932.43,830.32,1107.47,4.24,3.77,116.55,103.79,5.03,138.43,0.93,0.54,0.88,0.55,1.0,0.46,0.0,0.84,1.0,0.6,0.39,0.54,0.21,0.45,0.0,0.77,0.17,3.47,2.65,2.47,1.81,1.0,1.66,0.0,4.67,1.41,1.34,2.16,2.65,1.02,1.51,0.0,4.8,0.41,2.46,1.88,1.75,1.28,0.71,1.18,0.0,3.3,1.0,0.95,1.52,1.88,0.72,1.07,0.0,3.4,0.29,0.63,9.3,6.58,0.91,52.06,0.63,9.3,6.58,0.91,52.06,0.06,0.11,0.04,0.05,0.0,0.06,0.0,0.14,0.01,0.02,0.14,0.11,0.11,0.05,0.0,0.18,0.03,1.75,3.0,1.0,1.38,0.12,1.62,0.0,3.88,0.25,0.62,3.88,3.0,3.0,1.38,0.0,4.88,0.75,64.71,11.07,15.73,4.95,9.74,13.64,0.73,0.92,1.26
4912,2014,7484,876,317,1743,205,24416,23.96,119.1,4.97,36.51,1.52,9.82,0.41,21878.14,17743.27,22620.07,4.45,3.61,106.72,86.55,4.61,110.34,0.61,0.07,0.58,0.05,0.04,0.04,0.0,0.54,0.5,0.05,0.12,0.57,0.03,0.26,0.36,0.55,0.06,11.12,1.71,7.38,0.76,0.6,0.83,0.0,18.21,6.46,0.55,1.89,15.63,0.76,2.22,1.34,12.14,0.76,7.87,1.21,5.22,0.54,0.42,0.58,0.0,12.87,4.57,0.39,1.33,11.05,0.54,1.57,0.94,8.58,0.54,0.35,24.87,17.59,0.88,53.76,0.35,24.87,17.59,0.88,53.76,0.07,0.12,0.03,0.04,0.04,0.08,0.0,0.23,0.03,0.02,0.05,0.15,0.16,0.01,0.0,0.1,0.03,1.62,2.8,0.78,1.01,0.87,1.83,0.0,5.46,0.8,0.59,1.15,3.67,3.73,0.36,0.07,2.4,0.69,53.62,11.73,16.72,7.1,12.19,13.96,16.37,20.47,28.07
2454,1046,3876,480,140,726,95,12423,25.83,130.77,5.06,40.8,1.58,11.01,0.43,12362.35,10222.74,11645.41,5.04,4.17,130.13,107.61,4.75,122.58,0.36,0.09,0.62,0.1,0.05,0.03,0.0,0.37,0.58,0.05,0.25,0.53,0.03,0.17,0.33,0.54,0.05,6.06,1.52,5.18,1.17,0.4,0.45,0.0,8.56,4.52,0.44,2.19,9.17,0.64,1.62,0.58,8.13,0.32,4.29,1.08,3.66,0.83,0.28,0.32,0.0,6.05,3.2,0.31,1.55,6.48,0.46,1.14,0.41,5.75,0.23,0.3,14.66,10.36,0.84,35.63,0.3,14.66,10.36,0.84,35.63,0.12,0.12,0.03,0.05,0.02,0.1,0.0,0.22,0.02,0.03,0.03,0.12,0.14,0.04,0.0,0.09,0.02,2.98,3.07,0.73,1.31,0.59,2.52,0.0,5.75,0.63,0.85,0.79,3.13,3.65,0.91,0.03,2.37,0.4,46.99,13.12,18.16,6.94,12.82,15.33,8.18,10.22,14.02
92,47,167,28,9,72,7,495,13.14,70.71,5.38,23.86,1.82,6.71,0.51,435.08,361.69,462.75,4.73,3.93,62.15,51.67,5.03,66.11,0.83,0.88,1.0,0.3,0.33,0.6,0.0,0.94,1.0,0.43,1.0,0.92,0.4,0.0,0.0,0.85,0.0,2.04,2.47,1.73,0.95,0.82,1.34,0.0,3.75,1.0,1.13,2.24,3.18,1.26,0.0,0.0,3.05,0.0,1.44,1.75,1.22,0.67,0.58,0.95,0.0,2.65,0.71,0.8,1.58,2.25,0.89,0.0,0.0,2.16,0.0,0.78,7.51,5.31,0.95,74.62,0.78,7.51,5.31,0.95,74.62,0.07,0.09,0.03,0.11,0.07,0.05,0.0,0.17,0.01,0.08,0.05,0.13,0.11,0.0,0.0,0.14,0.0,0.86,1.14,0.43,1.43,0.86,0.71,0.0,2.29,0.14,1.0,0.71,1.71,1.43,0.0,0.0,1.86,0.0,39.93,10.96,17.43,6.48,13.58,10.48,0.31,0.38,0.53
571,210,871,85,17,251,20,2846,28.55,142.3,4.98,43.55,1.53,10.5,0.37,2371.77,1854.11,2580.13,4.15,3.25,118.59,92.71,4.52,129.01,0.55,0.2,0.85,0.33,0.67,0.15,0.0,0.52,0.55,0.14,0.67,0.45,0.14,1.0,0.12,0.74,1.0,3.41,1.73,3.05,1.15,1.15,1.03,0.0,5.55,2.97,0.74,2.31,5.08,1.2,1.41,0.35,5.95,1.0,2.41,1.22,2.16,0.82,0.82,0.73,0.0,3.92,2.1,0.53,1.63,3.59,0.85,1.0,0.25,4.21,0.71,0.44,10.5,7.43,0.87,37.14,0.44,10.5,7.43,0.87,37.14,0.07,0.13,0.02,0.02,0.01,0.08,0.0,0.2,0.05,0.05,0.02,0.22,0.12,0.0,0.01,0.11,0.0,1.9,3.75,0.65,0.6,0.15,2.3,0.0,5.65,1.45,1.45,0.6,6.3,3.5,0.1,0.4,3.25,0.05,48.81,13.54,17.37,5.27,12.47,16.32,1.9,2.38,3.26
489,227,752,100,20,247,18,2399,27.17,133.28,4.91,41.78,1.54,12.61,0.46,2350.86,1957.4,2439.77,4.81,4.0,130.6,108.74,4.99,135.54,0.76,0.18,0.93,0.26,0.23,0.17,1.0,0.62,0.9,0.25,0.48,0.66,0.09,0.3,0.0,0.76,0.2,4.46,1.51,3.47,1.25,0.83,1.11,1.0,6.12,2.85,0.87,2.4,5.08,0.78,0.95,0.0,6.31,0.63,3.15,1.07,2.46,0.88,0.59,0.78,0.71,4.33,2.01,0.61,1.7,3.59,0.55,0.67,0.0,4.46,0.45,0.51,11.17,7.9,0.89,44.44,0.51,11.17,7.9,0.89,44.44,0.07,0.15,0.03,0.05,0.03,0.08,0.0,0.2,0.02,0.02,0.05,0.12,0.16,0.02,0.0,0.14,0.02,1.89,4.11,0.78,1.28,0.72,2.22,0.06,5.33,0.56,0.67,1.39,3.28,4.44,0.56,0.0,3.78,0.56,49.16,13.15,19.05,6.02,11.96,15.26,1.63,2.04,2.79
